height_m,wet_radius_micron,concentration_m3
0.0,20304.105579112525,6.389935461345794e-08
0.0,20921.564757662312,6.621116294852806e-08
0.0,21557.801214319225,6.859832038358607e-08
0.0,22213.385976586545,7.106305509970735e-08
0.0,22888.907437232534,7.360766127606507e-08
0.0,23584.971882377795,7.623450124889105e-08
0.0,24302.20403564211,7.894600773365604e-08
0.0,25041.247618839076,8.174468611193695e-08
0.0,25802.765929721798,8.463311678453621e-08
0.0,26587.44243729809,8.76139575925018e-08
0.0,27395.98139524963,9.068994630780361e-08
0.0,28229.10847400547,9.386390319550819e-08
0.0,29087.571412037243,9.713873364939647e-08
0.0,29972.140686960694,1.0051743090306755e-07
0.0,30883.610207045724,1.0400307881867116e-07
0.0,31822.798023755637,1.0759885475551199e-07
0.0,32790.54706595514,1.1130803252087197e-07
0.0,33787.72589644602,1.1513398540549825e-07
0.0,34815.22949150942,1.1908018930630288e-07
0.0,35873.980044154516,1.2315022593893918e-07
0.0,36964.92779179439,1.2734778614300029e-07
0.0,38089.05186909202,1.3167667328271596e-07
0.0,39247.36118674174,1.3614080674611285e-07
0.0,40440.89533697499,1.4074422554571487e-07
0.0,41670.72552660297,1.4549109202397877e-07
0.0,42937.95553843364,1.5038569566675065e-07
0.0,44243.72272192597,1.5543245702816382e-07
0.0,45589.19901397049,1.6063593177048663e-07
0.0,46975.591990712455,1.660008148225682e-07
0.0,48404.14595136139,1.715319446606303e-07
0.0,49876.14303495996,1.7723430771527235e-07
0.0,51392.90437111453,1.8311304290869456e-07
0.0,52955.79126571979,1.8917344632624157e-07
0.0,54566.20642274216,1.9542097602652635e-07
0.0,56225.5952031583,2.018612569944932e-07
0.0,57935.446922178584,2.0850008624193057e-07
0.0,59697.2961859198,2.153434380600836e-07
0.0,61512.724268726895,2.2239746942912556e-07
0.0,63383.36053237992,2.2966852558943545e-07
0.0,65310.883888459684,2.3716314577974008e-07
0.0,67297.02430518476,2.448880691473327e-07
0.0,69343.56436007253,2.5285024083575996e-07
0.0,71452.34083981719,2.610568182555094e-07
0.0,73625.246388821,2.6951517754338526e-07
0.0,75864.23120785845,2.782329202164495e-07
0.0,78171.30480439769,2.872178800265702e-07
0.0,80548.53779615002,2.964781300217933e-07
0.0,82998.06376946656,3.060219898209524e-07
