height_m,wet_radius_micron,concentration_m3
0.0,2983.4372143340365,4.124571610151274e-09
0.0,3069.1731617397604,4.278416845665899e-09
0.0,3157.3729292796043,4.438347939178194e-09
0.0,3248.107320506067,4.604603433791627e-09
0.0,3341.449173674988,4.777430236365084e-09
0.0,3437.4734202174286,4.957083832412537e-09
0.0,3536.257144891897,5.143828502292846e-09
0.0,3637.8796476651773,5.337937538536848e-09
0.0,3742.422507371443,5.539693464164693e-09
0.0,3849.9696472007686,5.749388251853883e-09
0.0,3960.6074020696014,5.9673235438292594e-09
0.0,4074.424587927276,6.19381087235851e-09
0.0,4191.512573054222,6.429171880752806e-09
0.0,4311.965351409081,6.673738544790618e-09
0.0,4435.879618083617,6.927853394504325e-09
0.0,4563.354846926009,7.1918697362942945e-09
0.0,4694.493370394832,7.466151875363024e-09
0.0,4829.400461707808,7.751075338493575e-09
0.0,4968.1844193513025,8.047027097231102e-09
0.0,5110.956654018397,8.354405791564626e-09
0.0,5257.831778045323,8.67362195424734e-09
0.0,5408.927697418063,9.005098235938152e-09
0.0,5564.365706422964,9.349269631394606e-09
0.0,5724.270585017361,9.706583706997116e-09
0.0,5888.770698998387,1.0077500829936982e-08
0.0,6057.998103050325,1.0462494399454663e-08
0.0,6232.0886467533,1.0862051080571266e-08
0.0,6411.182083638353,1.1276671040812602e-08
0.0,6595.422183376479,1.17068681904837e-08
0.0,6784.956847191664,1.215317042710835e-08
0.0,6979.938226590587,1.2616119884707233e-08
0.0,7180.522845504302,1.3096273188642578e-08
0.0,7386.871725939914,1.3594201716813365e-08
0.0,7599.150517243181,1.4110491868036722e-08
0.0,7817.529629075764,1.464574533850047e-08
0.0,8042.18436821387,1.5200579407217826e-08
0.0,8273.295079278132,1.5775627231457085e-08
0.0,8511.047289507687,1.6371538153156174e-08
0.0,8755.631857694669,1.6988978017364318e-08
0.0,9007.245127398679,1.7628629503779806e-08
0.0,9266.089084564212,1.8291192472473787e-08
0.0,9532.371519667606,1.8977384324905042e-08
0.0,9806.306194523659,1.9687940381340243e-08
0.0,10088.113013885795,2.0423614275795702e-08
0.0,10378.018201977571,2.1185178369614762e-08
0.0,10676.254484097224,2.197342418478466e-08
0.0,10983.061273441039,2.2789162858081703e-08
0.0,11298.684863295532,2.3633225617114224e-08
0.0,11623.378624752686,2.4506464279305323e-08
0.0,11957.403210107024,2.5409751774830374e-08
0.0,12301.02676209775,2.634398269448694e-08
0.0,12654.525129163952,2.731007386344179e-08
0.0,13018.18208688565,2.8308964941756176e-08
0.0,13392.289565788473,2.9341619052551304e-08
0.0,13777.147885694822,3.040902343863371e-08
0.0,14173.06599680965,3.1512190148354187e-08
0.0,14580.361727734418,3.2652156751434735e-08
0.0,14999.36204060828,3.382998708545376e-08
0.0,15430.403293581347,3.504677203364073e-08
0.0,15873.831510830732,3.630363033459336e-08
0.0,16330.002660336122,3.7601709424495456e-08
0.0,16799.282939637873,3.894218631238317e-08
0.0,17282.04906980702,4.032626848897816e-08
0.0,17778.688597863213,4.175519486958547e-08
0.0,18289.60020788326,4.3230236771531454e-08
0.0,18815.194041050232,4.47526989266096e-08
0.0,19355.89202489974,4.6323920528986415e-08
0.0,19912.12821202799,4.794527631902124e-08
0.0,20484.34912853337,4.961817770345389e-08
0.0,21073.01413247127,5.134407391242104e-08
0.0,21678.595782609984,5.312445319377313e-08
0.0,22301.580217783587,5.496084404518321e-08
0.0,22942.46754714649,5.685481648456033e-08
0.0,23601.772251642768,5.88079833593011e-08
0.0,24280.02359701269,6.082200169495487e-08
0.0,24977.76605866791,6.289857408390191e-08
0.0,25695.559758776486,6.503945011468746e-08
0.0,26433.980915908454,6.724642784269784e-08
0.0,27193.62230760308,6.952135530290794e-08
0.0,27975.09374622902,7.186613206547617e-08
0.0,28779.022568519413,7.428271083501957e-08
0.0,29606.054139174914,7.677309909444576e-08
