height_m,bin_index,r_wet_m,number_concentration_m3
0.0,0,9.531331997465128e-10,13.563351944458207
0.0,1,9.836711805594428e-10,17.983017556161236
0.0,2,1.015292877274464e-09,23.77501807170867
0.0,3,1.0480409538363319e-09,31.34309606190149
0.0,4,1.0819598706933964e-09,41.20270061285954
0.0,5,1.1170959617225449e-09,54.009756916594874
0.0,6,1.153497514152704e-09,70.5962307784069
0.0,7,1.1912148515629112e-09,92.01392516567637
0.0,8,1.2303004200295587e-09,119.58820650459487
0.0,9,1.270808877495734e-09,154.9836555905786
0.0,10,1.3127971864334546e-09,200.2839742869968
0.0,11,1.3563247098672158e-09,258.0888567330902
0.0,12,1.4014533108245055e-09,331.6309539470416
0.0,13,1.448247455275707e-09,424.9165239076315
0.0,14,1.4967743186223743e-09,542.893864571551
0.0,15,1.5471038957888495e-09,691.6541723636237
0.0,16,1.5993091149678889e-09,878.6700490059781
0.0,17,1.653465955066272e-09,1113.077488264723
0.0,18,1.7096535668911916e-09,1406.0078015900378
0.0,19,1.7679543981127627e-09,1770.9765747201563
0.0,20,1.8284543220320248e-09,2224.337369393271
0.0,21,1.891242770177609e-09,2785.8084744898674
0.0,22,1.95641286874748e-09,3479.0815438014947
0.0,23,2.0240615789052808e-09,4332.521402948816
0.0,24,2.09428984093335e-09,5379.966630449008
0.0,25,2.1672027222368985e-09,6661.640677196244
0.0,26,2.242909569185831e-09,8225.18323927427
0.0,27,2.3215241627724757e-09,10126.811291079695
0.0,28,2.4031648780550523e-09,12432.61856513877
0.0,29,2.487954847347998e-09,15220.02127455933
0.0,30,2.5760221271114023e-09,18579.356454705165
0.0,31,2.6674998684829245e-09,22615.637392957313
0.0,32,2.7625264913863835e-09,27450.468161738267
0.0,33,2.8612458621421215e-09,33224.11621656906
0.0,34,2.9638074744952237e-09,40097.73832110372
0.0,35,3.070366633968532e-09,48255.750677992124
0.0,36,3.181084645438496e-09,57908.32905465592
0.0,37,3.2961290038232623e-09,69294.01889038518
0.0,38,3.4156735877637773e-09,82682.4288701375
0.0,39,3.539898856170772e-09,98376.97429073238
0.0,40,3.6689920475025966e-09,116717.62879430366
0.0,41,3.803147381631874e-09,138083.6348025255
0.0,42,3.942566264152308e-09,162896.1143871659
0.0,43,4.087457492971268e-09,191620.51353045576
0.0,44,4.238037467028774e-09,224768.80397200817
0.0,45,4.394530396979567e-09,262901.35835612396
0.0,46,4.557168517672259e-09,306628.40646949364
0.0,47,4.726192302257895e-09,356610.9733127026
0.0,48,4.901850677760247e-09,413561.19392929494
0.0,49,5.084401241941697e-09,478241.8956918366
0.0,50,5.274110481301841e-09,551465.3365014221
0.0,51,5.471253990051194e-09,634090.9874814856
0.0,52,5.676116689909796e-09,727022.2516168433
0.0,53,5.888993050590108e-09,831202.0157584499
0.0,54,6.110187310835897e-09,947606.9427983027
0.0,55,6.340013699903407e-09,1077240.4238756744
0.0,56,6.578796659388956e-09,1221124.127392113
0.0,57,6.826871065327435e-09,1380288.1024816332
0.0,58,7.0845824505097884e-09,1555759.4193983297
0.0,59,7.352287226994504e-09,1748549.3579085812
0.0,60,7.630352908817811e-09,1959639.1869503723
0.0,61,7.919158334940652e-09,2189964.6141361054
0.0,62,8.219093892506954e-09,2440399.0215781606
0.0,63,8.530561740527307e-09,2711735.6442964887
0.0,64,8.853976034144816e-09,3004668.888292022
0.0,65,9.189763149685583e-09,3319775.0262446287
0.0,66,9.538361910744934e-09,3657492.54863272
0.0,67,9.900223815610916e-09,4018102.485682844
0.0,68,1.0275813266380158e-08,4401709.049681449
0.0,69,1.066560780017565e-08,4808220.976536676
0.0,70,1.1070098322932744e-08,5237333.968782846
0.0,71,1.148978934627652e-08,5688514.658247617
0.0,72,1.1925199228071393e-08,6160986.514214924
