height_m,bin_index,r_wet_m,number_concentration_m3
0.0,0,4.440964915749939e-09,0.3147050801589057
0.0,1,4.585460968812383e-09,0.4440219928999966
0.0,2,4.735010889749804e-09,0.6243026598020062
0.0,3,4.889801219643261e-09,0.874733712657431
0.0,4,5.050025299801569e-09,1.2213679545018257
0.0,5,5.215883480870987e-09,1.6994451601397007
0.0,6,5.387583334766907e-09,2.356447490061488
0.0,7,5.565339869220306e-09,3.256104670011388
0.0,8,5.749375744721097e-09,4.483621336211258
0.0,9,5.939921493631634e-09,6.152469610772283
0.0,10,6.1372157412364084e-09,8.413176654136588
0.0,11,6.3415054284886265e-09,11.464642590226463
0.0,12,6.553046036211508e-09,15.56865211254754
0.0,13,6.772101810511433e-09,21.06839688562409
0.0,14,6.9989459891626226e-09,28.412009479923967
0.0,15,7.233861028727945e-09,38.182327171793865
0.0,16,7.477138832188972e-09,51.13435978029536
0.0,17,7.72908097687029e-09,68.24223405817348
0.0,18,7.989998942458321e-09,90.75773204704166
0.0,19,8.260214338934205e-09,120.28293581995567
0.0,20,8.54005913426291e-09,158.85993895077286
0.0,21,8.829875881708165e-09,209.0810874703179
0.0,22,9.130017946672838e-09,274.22376994734054
0.0,23,9.440849733000046e-09,358.41438542772755
0.0,24,9.762746908708048e-09,466.82677422958716
0.0,25,1.0096096631174992e-08,605.9210914825844
0.0,26,1.0441297771835123e-08,783.7298240488624
0.0,27,1.0798761140497575e-08,1010.1983803097606
0.0,28,1.1168909709451336e-08,1297.5883957318586
0.0,29,1.1552178837574688e-08,1660.9525651428942
0.0,30,1.1949016494725285e-08,2118.690398140969
0.0,31,1.2359883486745937e-08,2693.1947523158365
0.0,32,1.2785253681482415e-08,3411.5992773903745
0.0,33,1.3225614236270091e-08,4306.636941546366
0.0,34,1.3681465827409352e-08,5417.619541202002
0.0,35,1.4153322882209841e-08,6791.547442821912
0.0,36,1.4641713814245074e-08,8484.357690345947
0.0,37,1.514718126251741e-08,10562.316951572415
0.0,38,1.5670282335290135e-08,13103.563488093267
0.0,39,1.6211588859397197e-08,16199.799335765389
0.0,40,1.677168763589195e-08,19958.13010307171
0.0,41,1.735118070294238e-08,24503.04517200286
0.0,42,1.795068560692212e-08,29978.525576836204
0.0,43,1.857083568268429e-08,36550.26042074443
0.0,44,1.921228034403591e-08,44407.945379108365
0.0,45,1.987568538545727e-08,53767.62867918402
0.0,46,2.056173329613029e-08,64874.06102906384
0.0,47,2.127112358735385e-08,78002.99643467716
0.0,48,2.200457313443199e-08,93463.38088588929
0.0,49,2.276281653412175e-08,111599.35576354849
0.0,50,2.354660647872398e-08,132791.99282975018
0.0,51,2.4356714147888524e-08,157460.6681838603
0.0,52,2.519392961919046e-08,186063.97402213325
0.0,53,2.6059062298511992e-08,219100.0599035025
0.0,54,2.6952941371238905e-08,257106.29001013102
0.0,55,2.787641627524947e-08,300658.1001362148
0.0,56,2.8830357196640825e-08,350366.9383856083
0.0,57,2.9815655589098676e-08,406877.17733765696
0.0,58,3.083322471777821e-08,470861.89324125584
0.0,59,3.188400022852175e-08,543017.4200454036
0.0,60,3.296894074319563e-08,624056.6030980768
0.0,61,3.408902848188683e-08,714700.6993529765
0.0,62,3.52452699126551e-08,815669.8979665972
0.0,63,3.6438696429496475e-08,927672.4671221729
0.0,64,3.7670365059132104e-08,1051392.5694544788
0.0,65,3.8941359197198366e-08,1187476.8290253817
0.0,66,4.025278937437825e-08,1336519.776639069
0.0,67,4.1605794052982026e-08,1499048.3463864615
0.0,68,4.3001540454454546e-08,1675505.6434437027
0.0,69,4.444122541826444e-08,1866234.2498963708
0.0,70,4.59260762926041e-08,2071459.380123942
0.0,71,4.745735185731988e-08,2291272.2383347237
0.0,72,4.9036343279472244e-08,2525613.966399125
0.0,73,5.066437510192538e-08,2774260.598377859
0.0,74,5.234280626535778e-08,3036809.457349245
0.0,75,5.4073031164090826e-08,3312667.438688153
0.0,76,5.5856480736138555e-08,3601041.620466773
0.0,77,5.769462358789172e-08,3900932.6250313483
0.0,78,5.958896715386705e-08,4211131.125343398
0.0,79,6.154105889197357e-08,4530217.845066102
0.0,80,6.3552487514767e-08,4856567.342824705
0.0,81,6.562488425719982e-08,5188355.799280011
0.0,82,6.775992418139557e-08,5523572.94188722
0.0,83,6.995932751902216e-08,5860038.148236183
0.0,84,7.222486105186617e-08,6195420.666969509
0.0,85,7.455833953125923e-08,6527263.788176137
0.0,86,7.696162713704539e-08,6853012.685954414
0.0,87,7.943663897682628e-08,7170045.5479101185
0.0,88,8.198534262626768e-08,7475707.503223683
0.0,89,8.460975971130006e-08,7767346.766156407
0.0,90,8.73119675330949e-08,8042352.328921833
0.0,91,9.009410073675608e-08,8298192.469934898
0.0,92,9.29583530247102e-08,8532453.293390127
0.0,93,9.590697891584105e-08,8742876.486242643
0.0,94,9.894229555146675e-08,8927395.470640166
0.0,95,1.0206668454930872e-07,9084169.144700387
0.0,96,1.0528259390666728e-07,9211612.442431156
0.0,97,1.085925399540671e-07,9308423.003989581
0.0,98,1.1199910936069517e-07,9373603.328959495
0.0,99,1.1550496119301768e-07,9406477.885764103
0.0,100,1.1911282902800886e-07,9406704.766848791
0.0,101,1.2282552312249442e-07,9374281.60843449
0.0,102,1.2664593264016355e-07,9309545.631516283
0.0,103,1.3057702793786726e-07,9213167.80311004
0.0,104,1.3462186291287462e-07,9086141.259119479
0.0,105,1.38783577412829e-07,8929764.26815513
0.0,106,1.4306539971019095e-07,8745618.144952118
0.0,107,1.4747064904302918e-07,8535540.638756469
0.0,108,1.520027382240824e-07,8301595.422726631
0.0,109,1.5666517632005871e-07,8046038.392163359
0.0,110,1.614615714032297e-07,7771281.54008389
0.0,111,1.6639563337741604e-07,7479855.216877703
0.0,112,1.7147117688054148e-07,7174369.595946088
0.0,113,1.7669212426598852e-07,6857476.159521461
0.0,114,1.8206250866505691e-07,6531829.989268654
0.0,115,1.875864771329025e-07,6200053.596486267
0.0,116,1.9326829388039004e-07,5864702.959032445
0.0,117,1.9911234359436761e-07,5528236.349349051
0.0,118,2.0512313484894757e-07,5192986.443333407
0.0,119,2.11305303610455e-07,4861136.096766256
0.0,120,2.1766361683875118e-07,4534698.068119531
0.0,121,2.2420297618776347e-07,4215498.85735585
0.0,122,2.309284218080805e-07,3905166.723184113
0.0,123,2.3784513625459355e-07,3605123.8392410553
0.0,124,2.449584485022211e-07,3316582.4555666214
0.0,125,2.52273838072841e-07,3040544.8478196636
0.0,126,2.5979693927665403e-07,2777806.764711713
0.0,127,2.675335455712754e-07,2528964.0253973734
0.0,128,2.7548961404195456e-07,2294421.8737534266
0.0,129,2.836712700063949e-07,2074406.6658186724
0.0,130,2.920848117477759e-07,1868979.4498623465
0.0,131,3.007367153796445e-07,1678050.9948885841
0.0,132,3.096336398464594e-07,1501397.8317782094
0.0,133,3.1878243206367515e-07,1338678.8903356467
0.0,134,3.2819013220135115e-07,1189452.3436466805
0.0,135,3.3786397911540386e-07,1053192.3066187187
0.0,136,3.4781141593068887e-07,929305.076569767
0.0,137,3.580400957802662e-07,817144.648453722
0.0,138,3.6855788770528624e-07,716027.2840413118
