height_m,bin_index,r_wet_m,number_concentration_m3
0.0,0,1.6946227841918156e-09,0.001399697058495057
0.0,1,1.741343524167019e-09,0.002175835749838437
0.0,2,1.7893581807076378e-09,0.0033673089505910215
0.0,3,1.8387028800286704e-09,0.005188055599187615
0.0,4,1.8894147714390117e-09,0.007957764466336453
0.0,5,1.94153205698828e-09,0.012151848427793963
0.0,6,1.9950940219993304e-09,0.018473892526625412
0.0,7,2.05014106651371e-09,0.02796013662663101
0.0,8,2.1067147376779544e-09,0.0421293710057167
0.0,9,2.1648577630996028e-09,0.06319685588091863
0.0,10,2.224614085202644e-09,0.09437800266137036
0.0,11,2.2860288966128938e-09,0.14031719893465588
0.0,12,2.3491486766048473e-09,0.20769012483413105
0.0,13,2.4140212286423685e-09,0.3060452237753212
0.0,14,2.4806957190465936e-09,0.44897295876861926
0.0,15,2.5492227168253004e-09,0.6557217426537459
0.0,16,2.61965423469913e-09,0.9534190102607468
0.0,17,2.6920437713608496e-09,1.3801073040490337
0.0,18,2.766446355005106e-09,1.9888715147626024
0.0,19,2.8429185881669405e-09,2.853418211801908
0.0,20,2.9215186939085932e-09,4.075575652578997
0.0,21,3.002306563395025e-09,5.79531865009941
0.0,22,3.085343804899875e-09,8.204091844721578
0.0,23,3.1706937942845462e-09,11.562414674571217
0.0,24,3.2584217269942974e-09,16.223008784430753
0.0,25,3.3485946716163802e-09,22.661001657440508
0.0,26,3.4412816250464243e-09,31.513137175409977
0.0,27,3.5365535693104334e-09,43.62837294038372
0.0,28,3.634483530090914e-09,60.132773439005646
0.0,29,3.735146637007004e-09,82.5122243825747
0.0,30,3.838620185699464e-09,112.71720184422385
0.0,31,3.944983701772763e-09,153.29463231540333
0.0,32,4.0543190066477075e-09,207.55277460563065
0.0,33,4.1667102853792126e-09,279.7660341712079
0.0,34,4.28224415649512e-09,375.42767037387415
0.0,35,4.401009743913154e-09,501.55945376167347
0.0,36,4.523098750994383e-09,667.0884392942255
0.0,37,4.648605536792669e-09,883.30209529043
0.0,38,4.777627194561024e-09,1164.394004997794
0.0,39,4.91026363257677e-09,1528.1131602417272
0.0,40,5.046617657348712e-09,1996.5303997045623
0.0,41,5.18679505927077e-09,2596.9356956820143
0.0,42,5.330904700787556e-09,3362.879633573099
0.0,43,5.479058607138678e-09,4335.371413886037
0.0,44,5.631372059749601e-09,5564.243881639282
0.0,45,5.787963692337993e-09,7109.693290764402
0.0,46,5.948955589805686e-09,9043.997580146817
0.0,47,6.114473389987258e-09,11453.411721801218
0.0,48,6.284646388327512e-09,14440.232069821965
0.0,49,6.459607645560867e-09,18125.013494997722
0.0,50,6.63949409846681e-09,22648.913387083634
0.0,51,6.824446673776494e-09,28176.12536273252
0.0,52,7.014610405306363e-09,34896.352831399025
0.0,53,7.210134554395591e-09,43027.2586414579
0.0,54,7.4111727337250384e-09,52816.81216291017
0.0,55,7.617883034595987e-09,64545.43979379616
0.0,56,7.830428157747974e-09,78527.8695662912
0.0,57,8.04897554779543e-09,95114.54596829509
0.0,58,8.273697531363896e-09,114692.47810289875
0.0,59,8.504771459006758e-09,137685.37380638838
0.0,60,8.742379850984637e-09,164552.9053416984
0.0,61,8.98671054698968e-09,195788.94983179666
0.0,62,9.23795685989795e-09,231918.65075006717
0.0,63,9.496317733633357e-09,273494.1565377095
0.0,64,9.76199790522771e-09,321088.9096485718
0.0,65,1.0035208071161238e-08,375290.3847113528
0.0,66,1.0316165058069562e-08,436691.2084699794
0.0,67,1.0605091997902648e-08,505878.6367944643
0.0,68,1.090221850762293e-08,583422.4150323307
0.0,69,1.1207780873529987e-08,669861.1065179429
0.0,70,1.1522022240299976e-08,765687.0389099331
0.0,71,1.1845192804829274e-08,871330.0874114666
0.0,72,1.2177550014972464e-08,987140.585577283
0.0,73,1.2519358773266275e-08,1113371.725600266
0.0,74,1.2870891645731764e-08,1250161.877599232
0.0,75,1.3232429075849671e-08,1397517.3181216852
0.0,76,1.3604259603804049e-08,1555295.90831618
0.0,77,1.3986680091092526e-08,1723192.298535687
0.0,78,1.4379995950603034e-08,1900725.2552292137
0.0,79,1.478452138225914e-08,2087227.7049961174
0.0,80,1.5200579614339613e-08,2281840.067343146
0.0,81,1.562850315057996e-08,2483507.4005305623
0.0,82,1.6068634023167968e-08,2690980.8133775746
0.0,83,1.6521324051748644e-08,2902823.500571712
0.0,84,1.698693510855855e-08,3117421.641601732
0.0,85,1.7465839389813814e-08,3333000.266781947
0.0,86,1.795841969348181e-08,3547644.0419886303
0.0,87,1.8465069703572104e-08,3759322.76174795
0.0,88,1.8986194281088076e-08,3965921.1741169016
0.0,89,1.952220976178826e-08,4165272.596933777
0.0,90,2.0073544260913066e-08,4355195.630383517
0.0,91,2.0640637985041097e-08,4533533.1323391665
0.0,92,2.122394355124764e-08,4698192.50719404
0.0,93,2.182392631374712e-08,4847186.271813414
0.0,94,2.2441064698211352e-08,4978671.808736261
0.0,95,2.307585054396589e-08,5090989.200447799
0.0,96,2.372878945427788e-08,5182696.061551192
0.0,97,2.4400401154960448e-08,5252598.348355403
0.0,98,2.509121986153167e-08,5299776.226425749
0.0,99,2.580179465517821e-08,5323604.212878017
0.0,100,2.6532689867788527e-08,5323764.976863687
0.0,101,2.7284485476333465e-08,5300256.372593012
0.0,102,2.8057777506887866e-08,5253391.48700023
0.0,103,2.8853178448601173e-08,5183791.70056671
0.0,104,2.9671317677941474e-08,5092372.976301563
0.0,105,3.0512841893552495e-08,4980325.799808438
0.0,106,3.137841556208079e-08,4849089.384536762
0.0,107,3.226872137534584e-08,4700320.923372752
0.0,108,3.3184460719243636e-08,4535860.804397056
0.0,109,3.412635415479173e-08,4357694.810169547
0.0,110,3.509514191173965e-08,4167914.383135271
0.0,111,3.609158439518851e-08,3968676.0632775105
0.0,112,3.711646270567864e-08,3762161.1883718213
0.0,113,3.817057917322288e-08,3550536.8941748636
0.0,114,3.925475790578089e-08,3335919.365220757
