,z,P,T,wv,wc,wi,S,rho
0.0,0.0,77500.0,274.0,0.005155258941162103,1.8138956523041045e-06,0.0,-0.02,0.9801370217906316
1.0,1.0,77490.38553377322,273.9902441421863,0.005155252221715389,1.820615099019054e-06,0.0,-0.019492711636438034,0.9800505106512274
2.0,2.0,77480.77191836422,273.98051221489806,0.005155234823936472,1.838012877937611e-06,0.0,-0.01898898239041632,0.9799639252301697
3.0,3.0,77471.15915441036,273.9707975962164,0.005155209702672582,1.8631341418246944e-06,0.0,-0.018487818680848186,0.9798772875819145
4.0,4.0,77461.54724235517,273.9610960766855,0.005155178736276617,1.8941005377901235e-06,0.0,-0.01798858890594644,0.9797906117263151
5.0,5.0,77451.93618253175,273.95140496542507,0.00515514312547902,1.9297113353853005e-06,0.0,-0.01749088939570942,0.9797039066258958
6.0,6.0,77442.32597520266,273.9417225403764,0.005155103638700678,1.9691981137258725e-06,0.0,-0.01699446194814505,0.9796171780167581
7.0,7.0,77432.71662058542,273.93204770915696,0.005155060763387085,2.0120734273200493e-06,0.0,-0.016499142945469385,0.9795304295380735
8.0,8.0,77423.10811886919,273.9223797973735,0.005155014800467347,2.058036347054677e-06,0.0,-0.01600483158758122,0.9794436634370911
9.0,9.0,77413.50047022612,273.91271841457393,0.0051549659241699065,2.106912644494177e-06,0.0,-0.015511469772967273,0.9793568810155779
10.0,10.0,77403.89367481897,273.90306336809397,0.00515491422046583,2.1586163485737975e-06,0.0,-0.01501902916689777,0.9792700829167553
11.0,11.0,77394.2877363649,273.8934146298515,0.005154859701886045,2.213134928356956e-06,0.0,-0.014527506094714378,0.9791832692806599
12.0,12.0,77384.6826479072,273.8837722050842,0.005154802366093305,2.270470721098139e-06,0.0,-0.014036902328142682,0.9790964400022677
13.0,13.0,77375.07841316522,273.87413625353264,0.0051547421418079,2.330695006504869e-06,0.0,-0.013547242542937012,0.9790095945964663
14.0,14.0,77365.47503230633,273.8645069716665,0.005154678941360564,2.3938954538399547e-06,0.0,-0.013058557130776602,0.9789227324112831
15.0,15.0,77355.87250550509,273.85488460815776,0.005154612653788537,2.46018302586802e-06,0.0,-0.012570884402723031,0.9788358526211195
16.0,16.0,77346.27083294476,273.84526945632854,0.005154543148204778,2.5296886096283097e-06,0.0,-0.012084269459290526,0.9787489542519184
17.0,17.0,77336.67001481882,273.8356618491211,0.005154470276043039,2.602560771367434e-06,0.0,-0.01159876343935324,0.9786620361979359
18.0,18.0,77327.07005133205,273.82606215580296,0.005154393872528101,2.6789642863065543e-06,0.0,-0.011114423030341295,0.9785750972327281
19.0,19.0,77317.47094270156,273.81647077990584,0.005154313757595097,2.7590792193124498e-06,0.0,-0.010631310164274047,0.978488136016036
20.0,20.0,77307.87268915819,273.80688815797555,0.005154229736447554,2.8431003668564627e-06,0.0,-0.010149491835693605,0.9784011510979711
21.0,21.0,77298.27529438412,273.797314793144,0.0051541415845768645,2.9312522375462148e-06,0.0,-0.009669045071739978,0.9783141408505697
22.0,22.0,77288.67875176758,273.78775111598577,0.005154049109851045,3.023726963366341e-06,0.0,-0.009190036352403968,0.9782271037578494
23.0,23.0,77279.08306502226,273.77819769748606,0.005153952057483779,3.1207793306333266e-06,0.0,-0.008712553140746551,0.9781400379666143
24.0,24.0,77269.48823444378,273.76865510404565,0.005153850174734522,3.2226620798916176e-06,0.0,-0.008236682417582273,0.97805294159601
25.0,25.0,77259.89426034645,273.7591239352955,0.005153743194034633,3.3296427797804114e-06,0.0,-0.00776251629345188,0.977965812654945
26.0,26.0,77250.30114306456,273.7496048246054,0.00515363083276041,3.4420040540021154e-06,0.0,-0.007290152092623468,0.9778786490404316
27.0,27.0,77240.70888295333,273.7400984396087,0.005153512792998933,3.5600438154804786e-06,0.0,-0.006819692439610072,0.9777914485358612
28.0,28.0,77231.11748039011,273.73060548269103,0.005153388761330196,3.6840754842191863e-06,0.0,-0.006351245340272987,0.9777042088094059
29.0,29.0,77221.52693577552,273.72112669142575,0.005153258408632576,3.8144281818395468e-06,0.0,-0.00588492425498471,0.9776169274126002
30.0,30.0,77211.93724953443,273.71166283881337,0.005153121389976069,3.95144683834533e-06,0.0,-0.005420848141814719,0.9775296017795714
31.0,31.0,77202.34842498017,273.70221478323026,0.0051529773223339785,4.095514480436534e-06,0.0,-0.004959148974986384,0.9774422290969957
32.0,32.0,77192.76045686343,273.69278326504417,0.005152825875337947,4.246961476464883e-06,0.0,-0.004499941156118311,0.9773548068363443
33.0,33.0,77183.17334855288,273.6833692193717,0.005152666631718053,4.4062050963583366e-06,0.0,-0.004043368589670101,0.977267331930083
34.0,34.0,77173.5871005821,273.67397356156164,0.005152499183025316,4.573653789097129e-06,0.0,-0.003589572391946707,0.9771798013408944
35.0,35.0,77164.00171351508,273.6645972416816,0.005152323105318451,4.7497314959617145e-06,0.0,-0.003138699103442132,0.977092211916576
36.0,36.0,77154.41718794705,273.6552412437123,0.005152137959523434,4.934877290977522e-06,0.0,-0.0026909005725273437,0.9770045603927507
37.0,37.0,77144.83352450537,273.6459065845287,0.005151943291888003,5.129544926408904e-06,0.0,-0.0022463338063958426,0.9769168433962907
38.0,38.0,77135.25072385081,273.6365943126777,0.005151738634527296,5.334202287116292e-06,0.0,-0.001805160790499461,0.9768290574494211
39.0,39.0,77125.66878667836,273.6273055069983,0.005151523506039371,5.549330775040641e-06,0.0,-0.0013675482836663802,0.9767411989743434
40.0,40.0,77116.08771371827,273.6180412751841,0.005151297412146643,5.775424667768529e-06,0.0,-0.0009336676038606437,0.9766532642980551
41.0,41.0,77106.50750630118,273.60880276983056,0.005151059838535512,6.012998278901663e-06,0.0,-0.0005036970738442922,0.976565249606157
42.0,42.0,77096.92816410243,273.59959111773424,0.005150810282404294,6.2625544101191585e-06,0.0,-7.78112669881849e-05,0.9764771511494661
43.0,43.0,77087.34968852697,273.59040752590664,0.005150548205157598,6.524631656817123e-06,0.0,0.00034380285732975215,0.9763889649343055
44.0,44.0,77077.77208045477,273.581253213705,0.005150273062691079,6.799774123335362e-06,0.0,0.0007609562761763806,0.9763006869197137
45.0,45.0,77068.19534080567,273.57212943950464,0.00514998429348983,7.088543324585884e-06,0.0,0.001173453835872099,0.9762123129359153
46.0,46.0,77058.6194705409,273.56303752163234,0.005149681309287088,7.391527527328282e-06,0.0,0.0015810910489934612,0.9761238386147564
47.0,47.0,77049.0444706656,273.5539788853102,0.005149363474117032,7.709362697384865e-06,0.0,0.0019836469124883925,0.9760352592336529
48.0,48.0,77039.47034223385,273.5449551650309,0.0051490300586327495,8.04277818166731e-06,0.0,0.002380868242369111,0.9759465693752558
49.0,49.0,77029.89708635841,273.5359684221296,0.005148680143020746,8.392693793670333e-06,0.0,0.002772436371293368,0.9758577622041323
50.0,50.0,77020.32470423097,273.527021587925,0.005148312419261329,8.760417553086666e-06,0.0,0.0031578992952983977,0.9757688279935764
51.0,51.0,77010.75319729108,273.5181193124897,0.005147924812388858,9.148024425559189e-06,0.0,0.0035365416555524936,0.9756797513057113
52.0,52.0,77001.18256678885,273.5092693474504,0.005147513863455319,9.558973359098922e-06,0.0,0.00390717280297812,0.9755905063885676
53.0,53.0,76991.61281468824,273.500484647912,0.005147073791604904,9.999045209512314e-06,0.0,0.0042678044286925615,0.9755010501999676
54.0,54.0,76982.04394335939,273.4917856868857,0.005146595461325064,1.0477375489351764e-05,0.0,0.00461529519773228,0.9754113147108077
55.0,55.0,76972.4759559836,273.4832023438649,0.005146065539721892,1.1007297092521589e-05,0.0,0.004945060112877297,0.9753212006352345
56.0,56.0,76962.90885686921,273.47477429525867,0.005145466322299942,1.1606514514469853e-05,0.0,0.005251009111934337,0.9752305761427847
57.0,57.0,76953.34265174449,273.46654910576655,0.00514477658463326,1.229625218115254e-05,0.0,0.005525838153455323,0.9751392832155488
58.0,58.0,76943.77734794715,273.4585778011673,0.0051439735578855525,1.3099278928863216e-05,0.0,0.005761707131818905,0.9750471523776549
59.0,59.0,76934.21295443614,273.45090845845493,0.005143035789033703,1.4037047780708748e-05,0.0,0.005951223062029605,0.9749540240119476
60.0,60.0,76924.64948157959,273.44357907173224,0.00514194632426462,1.5126512549793276e-05,0.0,0.0060885358096589865,0.9748597720767008
61.0,61.0,76915.08694079984,273.4366112819204,0.005140695506918394,1.6377329896019637e-05,0.0,0.006170302535152195,0.9747643249413739
62.0,62.0,76905.52534366699,273.43000647819787,0.005139282717112839,1.7790119701575116e-05,0.0,0.006196288897577588,0.974667678322178
63.0,63.0,76895.96470165504,273.4237451295023,0.0051377166700418645,1.9356166772547716e-05,0.0,0.006169474265078694,0.9745698974817365
64.0,64.0,76886.40502537608,273.41779750525916,0.0051360106321486545,2.106220466575656e-05,0.0,0.006094407957490021,0.9744710815679009
65.0,65.0,76876.8463241379,273.41211324133724,0.005134187077027631,2.288575978678013e-05,0.0,0.005978811854509698,0.9743713982602915
66.0,66.0,76867.28860545256,273.406634547354,0.005132271792031758,2.480104478265373e-05,0.0,0.0058315529796303875,0.9742710398505424
67.0,67.0,76857.731874984,273.40130602661696,0.005130289496396176,2.6783340418234343e-05,0.0,0.005661134867317449,0.9741701906014403
68.0,68.0,76848.17613668782,273.39607790739853,0.00512826239937187,2.8810437442540182e-05,0.0,0.00547520027141019,0.9740690160128269
69.0,69.0,76838.62139301594,273.3909072193334,0.005126209675290711,3.086316152369797e-05,0.0,0.005280349540743392,0.9739676589212674
70.0,70.0,76829.06764514423,273.3857580975688,0.005124147327846983,3.292550896742371e-05,0.0,0.005082093140804508,0.9738662385006963
71.0,71.0,76819.51489367762,273.3806015635115,0.00512208828793294,3.498454888146843e-05,0.0,0.004884884702195208,0.9737648510091628
72.0,72.0,76809.96313695778,273.37541511611045,0.005120042596017633,3.7030240796775954e-05,0.0,0.00469218352541979,0.9736635711338959
73.0,73.0,76800.41237412461,273.37018190125406,0.005118017772780226,3.9055064034181574e-05,0.0,0.004506581595827514,0.9735624547984637
74.0,74.0,76790.86260337842,273.36489003621915,0.005116019120555776,4.105371625863417e-05,0.0,0.00432990728472174,0.9734615413914646
75.0,75.0,76781.31382260515,273.35953179367436,0.005114050087451262,4.3022749363147885e-05,0.0,0.004163350489030886,0.9733608564908629
76.0,76.0,76771.76602949866,273.3541028431808,0.005112112605804784,4.4960231009625745e-05,0.0,0.004007579033927072,0.9732604143893762
77.0,77.0,76762.21922165887,273.3486015542421,0.0051102074031800886,4.686543363432025e-05,0.0,0.003862845663169307,0.9731602204137957
78.0,78.0,76752.67339666918,273.34302837611324,0.00510833427910959,4.873855770481961e-05,0.0,0.0037290832701228406,0.9730602729879646
79.0,79.0,76743.12855215468,273.33738530601374,0.005106492342389555,5.0580494424852995e-05,0.0,0.00360598657511965,0.9729605654009872
80.0,80.0,76733.5846858247,273.3316754413115,0.0051046802109055945,5.239262590881329e-05,0.0,0.003493080922514509,0.9728610872956385
81.0,81.0,76724.0417965248,273.32590255769384,0.005102896199862198,5.4176636952208816e-05,0.0,0.0033897870242543446,0.9727618260828914
82.0,82.0,76714.49988016355,273.32007104513474,0.005101138350355263,5.593448645914285e-05,0.0,0.0032954311269436597,0.9726627671021493
